trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
113,False,"{'a': 0.4, 'e': 0.42665980793015723}",35,14,12.11656560953728,"{0: 18, 1: 3, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.4, 'e': 0.41759450395835795}",20,11,3.51003116524733,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.4, 'e': 0.40848744088415717}",20,12,11.62327892062616,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.4, 'e': 0.3993395294062732}",30,16,-40.531799517274784,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
117,False,"{'a': 0.4, 'e': 0.3901516843082303}",20,0,-56.5947706386662,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
118,False,"{'a': 0.4, 'e': 0.3809248243668818}",20,7,-22.780772847183,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
119,False,"{'a': 0.4, 'e': 0.371659872260533}",30,19,-3.495921697151957,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.4, 'e': 0.3623577544766736}",25,4,-26.799658714071754,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 0}",1
121,False,"{'a': 0.4, 'e': 0.35301940121933034}",20,12,5.734852641351295,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.4, 'e': 0.34364574631604705}",20,0,-35.015180293857185,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
123,False,"{'a': 0.4, 'e': 0.3342377271245026}",20,6,-35.43397196639614,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
124,False,"{'a': 0.4, 'e': 0.32479628443877623}",30,1,-16.59653520508107,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 1}",1
125,False,"{'a': 0.4, 'e': 0.3153223623952687}",30,0,12.68040562070242,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
126,False,"{'a': 0.4, 'e': 0.3058169083782893}",30,17,27.28937263341051,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.4, 'e': 0.2962808729253187}",25,13,23.90604708907543,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.4, 'e': 0.28671520963195546}",30,19,18.20739757826462,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.4, 'e': 0.2771208750565576}",20,8,8.9073133450384,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.4, 'e': 0.26749882862458735}",25,6,21.533340865526437,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.4, 'e': 0.2578500325326696}",20,12,2.2621975588032113,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.4, 'e': 0.2481754516523729}",20,9,20.163660896261337,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.4, 'e': 0.23847605343372313}",20,7,3.965497040667496,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.4, 'e': 0.22875280780845939}",20,10,18.43371195889847,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.4, 'e': 0.2190066870930415}",20,14,5.043349558388782,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.4, 'e': 0.20923866589141926}",20,14,12.511540806596141,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.4, 'e': 0.19944972099757285}",20,11,3.7853947620920803,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.4, 'e': 0.18964083129783424}",25,14,-29.06699357422289,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.4, 'e': 0.17981297767299934}",25,4,33.61078992565478,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
